ID,Name,GameAbbr,PositiveSentiments,NegativeSentiments,Total
1,Wii Sports,Game,2,3,5
2,Mario Kart Wii,Game,8,0,8
3,Wii Sports Resort,Game,1,0,1
4,New Super Mario Bros.,Game,1,0,1
5,Wii Play,Game,9,0,9
6,New Super Mario Bros. Wii,Game,8,0,8
7,Mario Kart DS,Game,3,0,3
8,Wii Fit,Game,5,0,5
9,Kinect Adventures!,Game,0,0,0
10,Wii Fit Plus,Game,6,0,6
11,Grand Theft Auto V,Game,2,1,3
12,Grand Theft Auto: San Andreas,Game,2,0,2
13,Brain Age: Train Your Brain in Minutes a Day,Game,9,0,9
14,Grand Theft Auto V,Game,10,0,10
15,Grand Theft Auto: Vice City,Game,10,0,10
16,Brain Age 2: More Training in Minutes a Day,Game,7,0,7
17,Gran Turismo 3: A-Spec,Game,3,0,3
18,Call of Duty: Modern Warfare 3,Game,1,1,2
19,Call of Duty: Black Ops,Game,1,0,1
20,Call of Duty: Black Ops II,Game,2,1,3
21,Call of Duty: Black Ops II,Game,1,0,1
22,Call of Duty: Modern Warfare 2,Game,1,0,1
23,Call of Duty: Modern Warfare 3,Game,10,1,11
24,Grand Theft Auto III,Game,3,0,3
25,Super Smash Bros. Brawl,Game,1,0,1
26,Mario Kart 7,Game,3,0,3
27,Call of Duty: Black Ops,Game,4,1,5
28,Grand Theft Auto V,Game,8,0,8
29,Animal Crossing: Wild World,Game,6,0,6
30,Halo 3,Game,10,0,10
31,Gran Turismo 4,Game,3,0,3
32,Super Mario Galaxy,Game,3,0,3
33,Grand Theft Auto IV,Game,9,0,9
34,Gran Turismo,Game,10,1,11
35,Super Mario 3D Land,Game,8,1,9
36,Gran Turismo 5,Game,4,1,5
37,Call of Duty: Modern Warfare 2,Game,7,0,7
38,Grand Theft Auto IV,Game,2,1,3
39,Call of Duty: Ghosts,Game,3,0,3
40,Just Dance 3,Game,10,1,11
41,New Super Mario Bros. 2,Game,4,1,5
42,Halo: Reach,Game,2,1,3
43,Final Fantasy VII,Game,10,1,11
44,Halo 4,Game,5,0,5
45,Gran Turismo 2,Game,8,1,9
46,Just Dance 2,Game,9,0,9
47,Call of Duty: Ghosts,Game,5,0,5
48,Call of Duty 4: Modern Warfare,Game,6,1,7
49,Animal Crossing: New Leaf,Game,1,3,4
50,Mario Party DS,Game,4,1,5
51,The Elder Scrolls V: Skyrim,Game,7,0,7
