ID,Name,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
1,Wii Sports,76,51,8,322,Nintendo,E
2,Mario Kart Wii,82,73,8.3,709,Nintendo,E
3,Wii Sports Resort,80,73,8,192,Nintendo,E
4,New Super Mario Bros.,89,65,8.5,431,Nintendo,E
5,Wii Play,58,41,6.6,129,Nintendo,E
6,New Super Mario Bros. Wii,87,80,8.4,594,Nintendo,E
7,Mario Kart DS,91,64,8.6,464,Nintendo,E
8,Wii Fit,80,63,7.7,146,Nintendo,E
9,Kinect Adventures!,61,45,6.3,106,Good Science Studio,E
10,Wii Fit Plus,80,33,7.4,52,Nintendo,E
11,Grand Theft Auto V,97,50,8.2,3994,Rockstar North,M
12,Grand Theft Auto: San Andreas,95,80,9,1588,Rockstar North,M
13,Brain Age: Train Your Brain in Minutes a Day,77,58,7.9,50,Nintendo,E
14,Grand Theft Auto V,97,58,8.1,3711,Rockstar North,M
15,Grand Theft Auto: Vice City,95,62,8.7,730,Rockstar North,M
16,Brain Age 2: More Training in Minutes a Day,77,37,7.1,19,Nintendo,E
17,Gran Turismo 3: A-Spec,95,54,8.4,314,Polyphony Digital,E
18,Call of Duty: Modern Warfare 3,88,81,3.4,8713,"Infinity Ward, Sledgehammer Games",M
19,Call of Duty: Black Ops,87,89,6.3,1454,Treyarch,M
20,Call of Duty: Black Ops II,83,21,5.3,922,Treyarch,M
21,Call of Duty: Black Ops II,83,73,4.8,2256,Treyarch,M
22,Call of Duty: Modern Warfare 2,94,100,6.3,2698,Infinity Ward,M
23,Call of Duty: Modern Warfare 3,88,39,3.2,5234,"Infinity Ward, Sledgehammer Games",M
24,Grand Theft Auto III,97,56,8.5,664,DMA Design,M
25,Super Smash Bros. Brawl,93,81,8.9,1662,Game Arts,T
26,Mario Kart 7,85,73,8.2,632,"Retro Studios, Entertainment Analysis & Development Division",E
27,Call of Duty: Black Ops,88,58,6.4,1094,Treyarch,M
28,Grand Theft Auto V,97,66,8.3,2899,Rockstar North,M
29,Animal Crossing: Wild World,86,57,8.7,242,Nintendo,E
30,Halo 3,94,86,7.8,4100,"Bungie Software, Bungie",M
31,Gran Turismo 4,89,74,8.5,272,Polyphony Digital,E
32,Super Mario Galaxy,97,73,8.9,2147,Nintendo,E
33,Grand Theft Auto IV,98,86,7.9,2951,Rockstar North,M
34,Gran Turismo,96,16,8.7,138,Polyphony Digital,E
35,Super Mario 3D Land,90,82,8.4,921,Nintendo,E
36,Gran Turismo 5,84,82,7.5,1112,Polyphony Digital,E
37,Call of Duty: Modern Warfare 2,94,67,6.3,2073,Infinity Ward,M
38,Grand Theft Auto IV,98,64,7.5,2833,Rockstar North,M
39,Call of Duty: Ghosts,73,29,2.6,2117,Infinity Ward,M
40,Just Dance 3,74,15,7.8,16,Ubisoft,E10+
41,New Super Mario Bros. 2,78,70,7.2,424,Nintendo,E
42,Halo: Reach,91,99,7.9,2045,Bungie,M
43,Final Fantasy VII,92,20,9.2,1282,SquareSoft,T
44,Halo 4,87,87,7,3260,343 Industries,M
45,Gran Turismo 2,93,23,9,135,Polyphony Digital,T
46,Just Dance 2,74,24,7.3,24,Ubisoft,E10+
47,Call of Duty: Ghosts,71,10,2.6,1047,Infinity Ward,M
48,Call of Duty 4: Modern Warfare,94,70,8.4,1320,Infinity Ward,M
49,Animal Crossing: New Leaf,88,70,8.7,626,Nintendo,E
50,Mario Party DS,72,27,7.8,85,Hudson Soft,E
51,The Elder Scrolls V: Skyrim,96,89,8.4,3589,Bethesda Game Studios,M
52,FIFA 16,82,42,4.3,896,EA Sports,E
53,Halo 2,95,91,8.2,1218,Bungie Software,M
54,Wii Party,68,42,7.4,54,Nd Cube,E
55,Mario Party 8,62,41,6.3,190,Hudson,E
