vgsales.id,vgsales.publisher,vgsales.global_sales,vgrating.critic_score,vgrating.user_score,vgrating.rating
4,Nintendo,33,89,9,E
4,Nintendo,33,89,9,E
7,Nintendo,30,91,9,E
7,Nintendo,30,91,9,E
17,Take-Two Interactive,21,95,8,E
17,Take-Two Interactive,21,95,8,E
31,Nintendo,15,89,9,E
31,Nintendo,15,89,9,E
32,Activision,15,97,9,E
32,Activision,15,97,9,E
34,Activision,14,96,9,E
34,Activision,14,96,9,E
35,Activision,14,90,8,E
35,Activision,14,90,8,E
49,Nintendo,12,88,9,E
49,Nintendo,12,88,9,E
64,Nintendo,10,97,9,E
64,Nintendo,10,97,9,E
73,Microsoft Game Studios,9,91,9,E
73,Microsoft Game Studios,9,91,9,E
74,Nintendo,9,88,9,E
74,Nintendo,9,88,9,E
94,Activision,8,92,9,E
94,Activision,8,92,9,E
115,Electronic Arts,7,92,8,E
115,Electronic Arts,7,92,8,E
120,Sony Computer Entertainment,7,93,8,E
120,Sony Computer Entertainment,7,93,8,E
139,GT Interactive,6,90,8,E
139,GT Interactive,6,90,8,E
140,Microsoft Game Studios,6,89,8,E
140,Microsoft Game Studios,6,89,8,E
148,Square Enix,6,88,8,E
148,Square Enix,6,88,8,E
152,Virgin Interactive,6,88,9,E
152,Virgin Interactive,6,88,9,E
161,Microsoft Game Studios,6,96,9,E
161,Microsoft Game Studios,6,96,9,E
164,Nintendo,5,91,8,E
164,Nintendo,5,91,8,E
165,Nintendo,5,91,8,E
165,Nintendo,5,91,8,E
181,Square Enix,5,93,9,E
181,Square Enix,5,93,9,E
195,Microsoft Game Studios,5,95,8,E
195,Microsoft Game Studios,5,95,8,E
201,Nintendo,5,90,8,E
201,Nintendo,5,90,8,E
220,Electronic Arts,5,91,9,E
220,Electronic Arts,5,91,9,E
230,Eidos Interactive,5,91,9,E
230,Eidos Interactive,5,91,9,E
237,Sony Computer Entertainment,5,90,9,E
237,Sony Computer Entertainment,5,90,9,E
241,Electronic Arts,4,91,8,E
241,Electronic Arts,4,91,8,E
251,Take-Two Interactive,4,88,8,E
251,Take-Two Interactive,4,88,8,E
268,Activision,4,91,8,E
268,Activision,4,91,8,E
288,Bethesda Softworks,4,88,9,E
288,Bethesda Softworks,4,88,9,E
294,Sony Computer Entertainment,4,89,9,E
294,Sony Computer Entertainment,4,89,9,E
304,Electronic Arts,4,91,9,E
304,Electronic Arts,4,91,9,E
308,Ubisoft,4,94,8,E
308,Ubisoft,4,94,8,E
326,Virgin Interactive,4,93,9,E
326,Virgin Interactive,4,93,9,E
342,Nintendo,4,93,9,E
342,Nintendo,4,93,9,E
358,LucasArts,4,89,9,E
358,LucasArts,4,89,9,E
371,Sega,4,95,9,E
371,Sega,4,95,9,E
393,Electronic Arts,3,90,8,E
393,Electronic Arts,3,90,8,E
395,Warner Bros. Interactive Entertainment,3,90,8,E
395,Warner Bros. Interactive Entertainment,3,90,8,E
396,Konami Digital Entertainment,3,90,8,E
396,Konami Digital Entertainment,3,90,8,E
425,Square Enix,3,90,8,E
425,Square Enix,3,90,8,E
472,Warner Bros. Interactive Entertainment,3,88,9,E
472,Warner Bros. Interactive Entertainment,3,88,9,E
519,THQ,3,89,9,E
519,THQ,3,89,9,E
528,Sony Computer Entertainment,3,89,8,E
528,Sony Computer Entertainment,3,89,8,E
